"source","target","start","end","weight"
"Colby","Rupert",1,7,1
"Colby","Stephenie",1,2,1
"Colby","Tom",1,2,1
"Cirie","Colby",1,5,1
"Candice","Colby",1,7,1
"Colby","James",1,8,1
"Amanda","Colby",1,11,1
"Colby","J.T.",1,4,1
"Rupert","Stephenie",1,3,1
"Rupert","Tom",1,6,1
"Cirie","Rupert",1,2,1
"Candice","Rupert",1,2,1
"James","Rupert",1,2,1
"Amanda","Rupert",1,2,1
"J.T.","Rupert",1,2,1
"Stephenie","Tom",1,2,1
"Cirie","Stephenie",1,3,1
"Candice","Stephenie",1,3,1
"James","Stephenie",1,3,1
"Amanda","Stephenie",1,3,1
"J.T.","Stephenie",1,3,1
"Cirie","Tom",1,5,1
"Candice","Tom",1,6,1
"James","Tom",1,6,1
"Amanda","Tom",1,6,1
"J.T.","Tom",1,4,1
"Candice","Cirie",1,2,1
"Cirie","James",1,2,1
"Amanda","Cirie",1,2,1
"Cirie","J.T.",1,2,1
"Candice","James",1,2,1
"Amanda","Candice",1,2,1
"Candice","J.T.",1,2,1
"Amanda","James",1,2,1
"J.T.","James",1,2,1
"Amanda","J.T.",1,2,1
"Colby","Stephenie",2,3,2
"Colby","Tom",2,4,2
"Stephenie","Tom",2,3,2
"Cirie","Rupert",2,5,2
"Candice","Rupert",2,5,2
"James","Rupert",2,4,2
"Amanda","Rupert",2,5,2
"J.T.","Rupert",2,5,2
"Candice","Cirie",2,4,2
"Cirie","James",2,5,2
"Amanda","Cirie",2,4,2
"Cirie","J.T.",2,5,2
"Candice","James",2,5,2
"Amanda","Candice",2,4,2
"Candice","J.T.",2,5,2
"Amanda","James",2,5,2
"J.T.","James",2,5,2
"Amanda","J.T.",2,5,2
"Boston Rob","Jerri",3,9,1
"Jerri","Sandra",3,10,1
"Danielle","Jerri",3,8,1
"Jerri","Parvati",3,8,1
"Courtney","Jerri",3,6,1
"Jerri","Tyson",3,6,1
"Coach","Jerri",3,6,1
"Jerri","Russell",3,8,1
"Boston Rob","Sandra",3,6,1
"Boston Rob","Danielle",3,9,1
"Boston Rob","Parvati",3,9,1
"Boston Rob","Courtney",3,8,1
"Boston Rob","Tyson",3,7,1
"Boston Rob","Coach",3,9,1
"Boston Rob","Russell",3,9,1
"Danielle","Sandra",3,9,1
"Parvati","Sandra",3,9,1
"Courtney","Sandra",3,8,1
"Sandra","Tyson",3,7,1
"Coach","Sandra",3,10,1
"Russell","Sandra",3,10,1
"Danielle","Parvati",3,6,1
"Courtney","Danielle",3,9,1
"Danielle","Tyson",3,7,1
"Coach","Danielle",3,10,1
"Danielle","Russell",3,6,1
"Courtney","Parvati",3,9,1
"Parvati","Tyson",3,7,1
"Coach","Parvati",3,10,1
"Parvati","Russell",3,6,1
"Courtney","Tyson",3,6,1
"Coach","Courtney",3,6,1
"Courtney","Russell",3,11,1
"Coach","Tyson",3,6,1
"Russell","Tyson",3,7,1
"Coach","Russell",3,9,1
"Colby","Tom",4,5,3
"Colby","J.T.",4,7,2
"J.T.","Tom",4,6,2
"James","Rupert",4,5,3
"Candice","Cirie",4,5,3
"Amanda","Cirie",4,5,3
"Amanda","Candice",4,5,3
"Colby","Tom",5,6,4
"Candice","Rupert",5,7,3
"James","Rupert",5,8,4
"Amanda","Rupert",5,11,3
"J.T.","Rupert",5,7,3
"Candice","James",5,8,3
"Amanda","Candice",5,11,4
"Candice","J.T.",5,7,3
"Amanda","James",5,8,3
"J.T.","James",5,8,3
"Amanda","J.T.",5,11,3
"Courtney","Jerri",6,11,2
"Jerri","Tyson",6,7,2
"Coach","Jerri",6,9,2
"Courtney","Tyson",6,7,2
"Coach","Courtney",6,10,2
"Coach","Tyson",6,7,2
"Boston Rob","Sandra",6,8,2
"Danielle","Parvati",6,8,2
"Danielle","Russell",6,8,2
"Parvati","Russell",6,8,2
"Colby","Rupert",7,11,2
"Candice","Colby",7,11,2
"Colby","J.T.",7,11,3
"Candice","Rupert",7,11,4
"J.T.","Rupert",7,11,4
"Candice","J.T.",7,11,4
"Danielle","Jerri",8,10,2
"Jerri","Parvati",8,10,2
"Jerri","Russell",8,9,2
"Danielle","Parvati",8,9,3
"Danielle","Russell",8,10,3
"Parvati","Russell",8,10,3
"Boston Rob","Sandra",8,9,3
"Boston Rob","Courtney",8,9,2
"Courtney","Sandra",8,9,2
"Danielle","Sandra",9,10,2
"Parvati","Sandra",9,10,2
"Courtney","Sandra",9,11,3
"Danielle","Parvati",9,10,4
"Courtney","Danielle",9,11,2
"Courtney","Parvati",9,11,2
"Coach","Jerri",9,10,3
"Jerri","Russell",9,10,3
"Coach","Russell",9,10,2
"Jerri","Sandra",10,11,2
"Danielle","Jerri",10,11,3
"Jerri","Parvati",10,11,3
"Jerri","Russell",10,11,4
"Danielle","Sandra",10,11,3
"Parvati","Sandra",10,11,3
"Russell","Sandra",10,11,2
"Danielle","Parvati",10,11,5
"Danielle","Russell",10,11,4
"Parvati","Russell",10,11,4
"Jerri","Sandra",11,12,3
"Danielle","Jerri",11,12,4
"Jerri","Parvati",11,12,4
"Jerri","Russell",11,12,5
"Danielle","Sandra",11,12,4
"Parvati","Sandra",11,12,4
"Russell","Sandra",11,12,3
"Danielle","Parvati",11,12,6
"Danielle","Russell",11,12,5
"Parvati","Russell",11,12,5
"Colby","Rupert",11,12,3
"Candice","Colby",11,14,3
"Amanda","Colby",11,12,2
"Colby","J.T.",11,12,4
"Candice","Rupert",11,14,5
"Amanda","Rupert",11,12,4
"J.T.","Rupert",11,12,5
"Amanda","Candice",11,13,5
"Candice","J.T.",11,12,5
"Amanda","J.T.",11,12,4
"Jerri","Sandra",12,13,4
"Danielle","Jerri",12,15,5
"Candice","Jerri",12,14,1
"Jerri","Parvati",12,15,5
"Jerri","Russell",12,13,6
"Danielle","Sandra",12,14,5
"Candice","Sandra",12,14,1
"Parvati","Sandra",12,14,5
"Russell","Sandra",12,13,4
"Candice","Danielle",12,13,1
"Danielle","Parvati",12,13,7
"Danielle","Russell",12,15,6
"Candice","Parvati",12,13,1
"Candice","Russell",12,14,1
"Parvati","Russell",12,15,6
"Colby","Rupert",12,13,4
"Amanda","Colby",12,13,3
"Amanda","Rupert",12,13,5
"Colby","Jerri",13,14,1
"Jerri","Rupert",13,14,1
"Jerri","Sandra",13,15,5
"Jerri","Russell",13,14,7
"Colby","Rupert",13,14,5
"Colby","Sandra",13,17,1
"Colby","Russell",13,14,1
"Rupert","Sandra",13,16,1
"Rupert","Russell",13,14,1
"Russell","Sandra",13,15,5
"Candice","Danielle",13,14,2
"Danielle","Parvati",13,14,8
"Candice","Parvati",13,14,2
"Colby","Jerri",14,17,2
"Jerri","Rupert",14,16,2
"Jerri","Russell",14,15,8
"Colby","Rupert",14,15,6
"Colby","Russell",14,17,2
"Rupert","Russell",14,16,2
"Danielle","Sandra",14,15,6
"Parvati","Sandra",14,15,6
"Danielle","Parvati",14,15,9
"Jerri","Sandra",15,16,6
"Jerri","Parvati",15,16,6
"Jerri","Russell",15,16,9
"Parvati","Sandra",15,16,7
"Russell","Sandra",15,16,6
"Parvati","Russell",15,16,7
"Colby","Rupert",15,16,7
"Jerri","Sandra",16,18,7
"Jerri","Parvati",16,18,7
"Jerri","Russell",16,18,10
"Parvati","Sandra",16,17,8
"Russell","Sandra",16,17,7
"Parvati","Russell",16,17,8
"Parvati","Sandra",17,19,9
"Russell","Sandra",17,19,8
"Parvati","Russell",17,19,9
